"ROW.NUM","ICD.9.CM.CODE","CCS.CATEGORY","CCS.CATEGORY.DESCRIPTION","ICD.9.CM.CODE.DESCRIPTION","OPTIONAL.CCS.CATEGORY","OPTIONAL.CCS.CATEGORY.DESCRIPTION","ICD9.CODE.FRMT"
"1","     ","0    ","No DX","INVALID CODES IN USER DATA"," "," ",""
"2","01000","1    ","Tuberculosis","PRIM TB COMPLEX-UNSPEC"," "," ","010.00"
"3","01001","1    ","Tuberculosis","PRIM TB COMPLEX-NO EXAM"," "," ","010.01"
"4","01002","1    ","Tuberculosis","PRIM TB COMPLEX-EXM UNKN"," "," ","010.02"
"5","01003","1    ","Tuberculosis","PRIM TB COMPLEX-MICRO DX"," "," ","010.03"
"6","01004","1    ","Tuberculosis","PRIM TB COMPLEX-CULT DX"," "," ","010.04"
"7","01005","1    ","Tuberculosis","PRIM TB COMPLEX-HISTO DX"," "," ","010.05"
"8","01006","1    ","Tuberculosis","PRIM TB COMPLEX-OTH TEST"," "," ","010.06"
"9","01010","1    ","Tuberculosis","PRIM TB PLEURISY-UNSPEC"," "," ","010.10"
"10","01011","1    ","Tuberculosis","PRIM TB PLEURISY-NO EXAM"," "," ","010.11"
"11","01012","1    ","Tuberculosis","PRIM TB PLEUR-EXAM UNKN"," "," ","010.12"
"12","01013","1    ","Tuberculosis","PRIM TB PLEURIS-MICRO DX"," "," ","010.13"
"13","01014","1    ","Tuberculosis","PRIM TB PLEURISY-CULT DX"," "," ","010.14"
"14","01015","1    ","Tuberculosis","PRIM TB PLEURIS-HISTO DX"," "," ","010.15"
"15","01016","1    ","Tuberculosis","PRIM TB PLEURIS-OTH TEST"," "," ","010.16"
"16","01080","1    ","Tuberculosis","PRIM PROG TB NEC-UNSPEC"," "," ","010.80"
"17","01081","1    ","Tuberculosis","PRIM PROG TB NEC-NO EXAM"," "," ","010.81"
"18","01082","1    ","Tuberculosis","PRIM PR TB NEC-EXAM UNKN"," "," ","010.82"
"19","01083","1    ","Tuberculosis","PRIM PRG TB NEC-MICRO DX"," "," ","010.83"
"20","01084","1    ","Tuberculosis","PRIM PROG TB NEC-CULT DX"," "," ","010.84"
"21","01085","1    ","Tuberculosis","PRIM PRG TB NEC-HISTO DX"," "," ","010.85"
"22","01086","1    ","Tuberculosis","PRIM PRG TB NEC-OTH TEST"," "," ","010.86"
"23","01090","1    ","Tuberculosis","PRIMARY TB NOS-UNSPEC"," "," ","010.90"
"24","01091","1    ","Tuberculosis","PRIMARY TB NOS-NO EXAM"," "," ","010.91"
"25","01092","1    ","Tuberculosis","PRIMARY TB NOS-EXAM UNKN"," "," ","010.92"
"26","01093","1    ","Tuberculosis","PRIMARY TB NOS-MICRO DX"," "," ","010.93"
"27","01094","1    ","Tuberculosis","PRIMARY TB NOS-CULT DX"," "," ","010.94"
"28","01095","1    ","Tuberculosis","PRIMARY TB NOS-HISTO DX"," "," ","010.95"
"29","01096","1    ","Tuberculosis","PRIMARY TB NOS-OTH TEST"," "," ","010.96"
"30","01100","1    ","Tuberculosis","TB LUNG INFILTR-UNSPEC"," "," ","011.00"
"31","01101","1    ","Tuberculosis","TB LUNG INFILTR-NO EXAM"," "," ","011.01"
"32","01102","1    ","Tuberculosis","TB LUNG INFILTR-EXM UNKN"," "," ","011.02"
"33","01103","1    ","Tuberculosis","TB LUNG INFILTR-MICRO DX"," "," ","011.03"
"34","01104","1    ","Tuberculosis","TB LUNG INFILTR-CULT DX"," "," ","011.04"
"35","01105","1    ","Tuberculosis","TB LUNG INFILTR-HISTO DX"," "," ","011.05"
"36","01106","1    ","Tuberculosis","TB LUNG INFILTR-OTH TEST"," "," ","011.06"
"37","01110","1    ","Tuberculosis","TB LUNG NODULAR-UNSPEC"," "," ","011.10"
"38","01111","1    ","Tuberculosis","TB LUNG NODULAR-NO EXAM"," "," ","011.11"
"39","01112","1    ","Tuberculosis","TB LUNG NODUL-EXAM UNKN"," "," ","011.12"
"40","01113","1    ","Tuberculosis","TB LUNG NODULAR-MICRO DX"," "," ","011.13"
"41","01114","1    ","Tuberculosis","TB LUNG NODULAR-CULT DX"," "," ","011.14"
"42","01115","1    ","Tuberculosis","TB LUNG NODULAR-HISTO DX"," "," ","011.15"
"43","01116","1    ","Tuberculosis","TB LUNG NODULAR-OTH TEST"," "," ","011.16"
"44","01120","1    ","Tuberculosis","TB LUNG W CAVITY-UNSPEC"," "," ","011.20"
"45","01121","1    ","Tuberculosis","TB LUNG W CAVITY-NO EXAM"," "," ","011.21"
"46","01122","1    ","Tuberculosis","TB LUNG CAVITY-EXAM UNKN"," "," ","011.22"
"47","01123","1    ","Tuberculosis","TB LUNG W CAVIT-MICRO DX"," "," ","011.23"
"48","01124","1    ","Tuberculosis","TB LUNG W CAVITY-CULT DX"," "," ","011.24"
"49","01125","1    ","Tuberculosis","TB LUNG W CAVIT-HISTO DX"," "," ","011.25"
"50","01126","1    ","Tuberculosis","TB LUNG W CAVIT-OTH TEST"," "," ","011.26"
"51","01130","1    ","Tuberculosis","TB OF BRONCHUS-UNSPEC"," "," ","011.30"
"52","01131","1    ","Tuberculosis","TB OF BRONCHUS-NO EXAM"," "," ","011.31"
"53","01132","1    ","Tuberculosis","TB OF BRONCHUS-EXAM UNKN"," "," ","011.32"
"54","01133","1    ","Tuberculosis","TB OF BRONCHUS-MICRO DX"," "," ","011.33"
"55","01134","1    ","Tuberculosis","TB OF BRONCHUS-CULT DX"," "," ","011.34"
"56","01135","1    ","Tuberculosis","TB OF BRONCHUS-HISTO DX"," "," ","011.35"
"57","01136","1    ","Tuberculosis","TB OF BRONCHUS-OTH TEST"," "," ","011.36"
"58","01140","1    ","Tuberculosis","TB LUNG FIBROSIS-UNSPEC"," "," ","011.40"
"59","01141","1    ","Tuberculosis","TB LUNG FIBROSIS-NO EXAM"," "," ","011.41"
"60","01142","1    ","Tuberculosis","TB LUNG FIBROS-EXAM UNKN"," "," ","011.42"
"61","01143","1    ","Tuberculosis","TB LUNG FIBROS-MICRO DX"," "," ","011.43"
"62","01144","1    ","Tuberculosis","TB LUNG FIBROSIS-CULT DX"," "," ","011.44"
"63","01145","1    ","Tuberculosis","TB LUNG FIBROS-HISTO DX"," "," ","011.45"
"64","01146","1    ","Tuberculosis","TB LUNG FIBROS-OTH TEST"," "," ","011.46"
"65","01150","1    ","Tuberculosis","TB BRONCHIECTASIS-UNSPEC"," "," ","011.50"
"66","01151","1    ","Tuberculosis","TB BRONCHIECT-NO EXAM"," "," ","011.51"
"67","01152","1    ","Tuberculosis","TB BRONCHIECT-EXAM UNKN"," "," ","011.52"
"68","01153","1    ","Tuberculosis","TB BRONCHIECT-MICRO DX"," "," ","011.53"
"69","01154","1    ","Tuberculosis","TB BRONCHIECT-CULT DX"," "," ","011.54"
"70","01155","1    ","Tuberculosis","TB BRONCHIECT-HISTO DX"," "," ","011.55"
"71","01156","1    ","Tuberculosis","TB BRONCHIECT-OTH TEST"," "," ","011.56"
"72","01160","1    ","Tuberculosis","TB PNEUMONIA-UNSPEC"," "," ","011.60"
"73","01161","1    ","Tuberculosis","TB PNEUMONIA-NO EXAM"," "," ","011.61"
"74","01162","1    ","Tuberculosis","TB PNEUMONIA-EXAM UNKN"," "," ","011.62"
"75","01163","1    ","Tuberculosis","TB PNEUMONIA-MICRO DX"," "," ","011.63"
"76","01164","1    ","Tuberculosis","TB PNEUMONIA-CULT DX"," "," ","011.64"
"77","01165","1    ","Tuberculosis","TB PNEUMONIA-HISTO DX"," "," ","011.65"
"78","01166","1    ","Tuberculosis","TB PNEUMONIA-OTH TEST"," "," ","011.66"
"79","01170","1    ","Tuberculosis","TB PNEUMOTHORAX-UNSPEC"," "," ","011.70"
"80","01171","1    ","Tuberculosis","TB PNEUMOTHORAX-NO EXAM"," "," ","011.71"
"81","01172","1    ","Tuberculosis","TB PNEUMOTHORX-EXAM UNKN"," "," ","011.72"
"82","01173","1    ","Tuberculosis","TB PNEUMOTHORAX-MICRO DX"," "," ","011.73"
"83","01174","1    ","Tuberculosis","TB PNEUMOTHORAX-CULT DX"," "," ","011.74"
"84","01175","1    ","Tuberculosis","TB PNEUMOTHORAX-HISTO DX"," "," ","011.75"
"85","01176","1    ","Tuberculosis","TB PNEUMOTHORAX-OTH TEST"," "," ","011.76"
"86","01180","1    ","Tuberculosis","PULMONARY TB NEC-UNSPEC"," "," ","011.80"
"87","01181","1    ","Tuberculosis","PULMONARY TB NEC-NO EXAM"," "," ","011.81"
"88","01182","1    ","Tuberculosis","PULMON TB NEC-EXAM UNKN"," "," ","011.82"
"89","01183","1    ","Tuberculosis","PULMON TB NEC-MICRO DX"," "," ","011.83"
"90","01184","1    ","Tuberculosis","PULMON TB NEC-CULT DX"," "," ","011.84"
"91","01185","1    ","Tuberculosis","PULMON TB NEC-HISTO DX"," "," ","011.85"
"92","01186","1    ","Tuberculosis","PULMON TB NEC-OTH TEST"," "," ","011.86"
"93","01190","1    ","Tuberculosis","PULMONARY TB NOS-UNSPEC"," "," ","011.90"
"94","01191","1    ","Tuberculosis","PULMONARY TB NOS-NO EXAM"," "," ","011.91"
"95","01192","1    ","Tuberculosis","PULMON TB NOS-EXAM UNKN"," "," ","011.92"
"96","01193","1    ","Tuberculosis","PULMON TB NOS-MICRO DX"," "," ","011.93"
"97","01194","1    ","Tuberculosis","PULMON TB NOS-CULT DX"," "," ","011.94"
"98","01195","1    ","Tuberculosis","PULMON TB NOS-HISTO DX"," "," ","011.95"
"99","01196","1    ","Tuberculosis","PULMON TB NOS-OTH TEST"," "," ","011.96"
"100","01200","1    ","Tuberculosis","TB PLEURISY-UNSPEC"," "," ","012.00"
"101","01201","1    ","Tuberculosis","TB PLEURISY-NO EXAM"," "," ","012.01"
"102","01202","1    ","Tuberculosis","TB PLEURISY-EXAM UNKN"," "," ","012.02"
"103","01203","1    ","Tuberculosis","TB PLEURISY-MICRO DX"," "," ","012.03"
"104","01204","1    ","Tuberculosis","TB PLEURISY-CULT DX"," "," ","012.04"
"105","01205","1    ","Tuberculosis","TB PLEURISY-HISTOLOG DX"," "," ","012.05"
"106","01206","1    ","Tuberculosis","TB PLEURISY-OTH TEST"," "," ","012.06"
"107","01210","1    ","Tuberculosis","TB THORACIC NODES-UNSPEC"," "," ","012.10"
"108","01211","1    ","Tuberculosis","TB THORAX NODE-NO EXAM"," "," ","012.11"
"109","01212","1    ","Tuberculosis","TB THORAX NODE-EXAM UNKN"," "," ","012.12"
"110","01213","1    ","Tuberculosis","TB THORAX NODE-MICRO DX"," "," ","012.13"
"111","01214","1    ","Tuberculosis","TB THORAX NODE-CULT DX"," "," ","012.14"
"112","01215","1    ","Tuberculosis","TB THORAX NODE-HISTO DX"," "," ","012.15"
"113","01216","1    ","Tuberculosis","TB THORAX NODE-OTH TEST"," "," ","012.16"
"114","01220","1    ","Tuberculosis","ISOL TRACHEAL TB-UNSPEC"," "," ","012.20"
"115","01221","1    ","Tuberculosis","ISOL TRACHEAL TB-NO EXAM"," "," ","012.21"
"116","01222","1    ","Tuberculosis","ISOL TRACH TB-EXAM UNKN"," "," ","012.22"
"117","01223","1    ","Tuberculosis","ISOLAT TRACH TB-MICRO DX"," "," ","012.23"
"118","01224","1    ","Tuberculosis","ISOL TRACHEAL TB-CULT DX"," "," ","012.24"
"119","01225","1    ","Tuberculosis","ISOLAT TRACH TB-HISTO DX"," "," ","012.25"
"120","01226","1    ","Tuberculosis","ISOLAT TRACH TB-OTH TEST"," "," ","012.26"
"121","01230","1    ","Tuberculosis","TB LARYNGITIS-UNSPEC"," "," ","012.30"
